filename,year,region,province,total,unique_names,m,f,lower_threshold,upper_threshold,is_low_outlier,is_high_outlier
palmares-2020-global.txt,2020,global,autre,628856,625619,375323,253533,-11453.0,31227.0,false,true
palmares-2022-global.txt,2022,global,autre,615880,598359,359396,256484,-11453.0,31227.0,false,true
palmares-2021-global.txt,2021,global,autre,491896,489714,289152,202744,-11453.0,31227.0,false,true
palmares-2015-global.txt,2015,global,autre,363019,361542,226901,136118,-11453.0,31227.0,false,true
palmares-2014-global.txt,2014,global,autre,330063,328490,211911,118152,-11453.0,31227.0,false,true
palmares-2019-kinshasa.txt,2019,kinshasa,kinshasa,104469,104406,52055,52414,-11453.0,31227.0,false,true
palmares-2018-kinshasa.txt,2018,kinshasa,kinshasa,98750,98687,47214,51536,-11453.0,31227.0,false,true
palmares-2016-kinshasa.txt,2016,kinshasa,kinshasa,97197,97139,48372,48825,-11453.0,31227.0,false,true
palmares-2011-kinshasa.txt,2011,kinshasa,kinshasa,65188,65164,32182,33006,-11453.0,31227.0,false,true
palmares-2009-kinsahsa.txt,2009,kinsahsa,kinshasa,62078,62060,32378,29700,-11453.0,31227.0,false,true
palmares-2022-haut-katanga-1-71.txt,2022,haut-katanga-1-71,katanga,61256,61103,34042,27214,-11453.0,31227.0,false,true
palmares-2023-haut-katanga-1-71.txt,2023,haut-katanga-1-71,katanga,61105,60149,32605,28500,-11453.0,31227.0,false,true
palmares-2011-bandundu.txt,2011,bandundu,bandundu,57281,56998,39508,17773,-11453.0,31227.0,false,true
palmares-2012-technique-tous.txt,2012,technique-tous,autre,55165,55128,39657,15508,-11453.0,31227.0,false,true
palmares-2019-haut-katanga-71.txt,2019,haut-katanga-71,katanga,49294,49179,27427,21867,-11453.0,31227.0,false,true
palmares-2018-haut-katanga.txt,2018,haut-katanga,katanga,46232,46130,27198,19034,-11453.0,31227.0,false,true
palmares-2009-bandundu.txt,2009,bandundu,bandundu,45819,45723,31835,13984,-11453.0,31227.0,false,true
palmares-2021-haut-katanga-1.txt,2021,haut-katanga-1,katanga,43739,43639,22652,21087,-11453.0,31227.0,false,true
palmares-2018-kwilu.txt,2018,kwilu,bandundu,41485,41336,23006,18479,-11453.0,31227.0,false,true
palmares-2012-kinshasa.txt,2012,kinshasa,kinshasa,40352,40344,17820,22532,-11453.0,31227.0,false,true
palmares-2018-nord-kivu.txt,2018,nord-kivu,nord-kivu,38873,38795,22079,16794,-11453.0,31227.0,false,true
palmares-2017-definitif-kwilu-32.txt,2017,definitif-kwilu-32,bandundu,37259,37144,22411,14848,-11453.0,31227.0,false,true
palmares-2018-sud-kivu.txt,2018,sud-kivu,sud-kivu,37009,36796,22161,14848,-11453.0,31227.0,false,true
palmares-2011-katanga.txt,2011,katanga,katanga,36629,36454,26084,10545,-11453.0,31227.0,false,true
palmares-2012-bandundu.txt,2012,bandundu,bandundu,35632,35542,23367,12265,-11453.0,31227.0,false,true
palmares-2017-definitif-kinshasa-est-11-definitif.txt,2017,definitif-kinshasa-est-11-definitif,kinshasa,35612,35601,18562,17050,-11453.0,31227.0,false,true
palmares-2017-definitif-haut-katanga-71.txt,2017,definitif-haut-katanga-71,katanga,35461,35409,21063,14398,-11453.0,31227.0,false,true
palmares-2009-katanga.txt,2009,katanga,katanga,35183,35020,24800,10383,-11453.0,31227.0,false,true
palmares-2023-34-kwilu-2.txt,2023,34-kwilu-2,bandundu,34418,34188,19056,15362,-11453.0,31227.0,false,true
palmares-2016-kwilu-32.txt,2016,kwilu-32,bandundu,32909,32815,20043,12866,-11453.0,31227.0,false,true
palmares-2023-kinshasa-tshangu-14.txt,2023,kinshasa-tshangu-14,kinshasa,32334,32271,16028,16306,-11453.0,31227.0,false,true
palmares-2023-kinshasa-lukunga-13.txt,2023,kinshasa-lukunga-13,kinshasa,32035,31965,15679,16356,-11453.0,31227.0,false,true
palmares-2022-kinshasa-tshangu-code-14.txt,2022,kinshasa-tshangu-code-14,kinshasa,31235,31227,14468,16767,-11453.0,31227.0,false,true
palmares-2023-kinshasa-mont-amba-11.txt,2023,kinshasa-mont-amba-11,kinshasa,30794,30716,15012,15782,-11453.0,31227.0,false,false
palmares-2017-definitif-sud-kivu-63.txt,2017,definitif-sud-kivu-63,sud-kivu,30583,30429,18566,12017,-11453.0,31227.0,false,false
palmares-2016-haut-katanga-71.txt,2016,haut-katanga-71,katanga,30073,29994,17709,12364,-11453.0,31227.0,false,false
palmares-2022-kwilu-2-code-34.txt,2022,kwilu-2-code-34,bandundu,29822,29674,16220,13602,-11453.0,31227.0,false,false
palmares-2015-kinshasa-est-11.txt,2015,kinshasa-est-11,kinshasa,29791,29789,16227,13564,-11453.0,31227.0,false,false
palmares-2022-kongo-central-1-code-21.txt,2022,kongo-central-1-code-21,bas-congo,28924,28816,14504,14420,-11453.0,31227.0,false,false
palmares-2022-kinshasa-lukunga-code-13.txt,2022,kinshasa-lukunga-code-13,kinshasa,28788,28781,13908,14880,-11453.0,31227.0,false,false
palmares-2023-sud-kivu-1-63.txt,2023,sud-kivu-1-63,sud-kivu,28251,27309,14872,13379,-11453.0,31227.0,false,false
palmares-2010-bandundu-2-32.txt,2010,bandundu-2-32,bandundu,27772,27695,18698,9074,-11453.0,31227.0,false,false
palmares-2015-katanga-1-71.txt,2015,katanga-1-71,katanga,27479,27448,15818,11661,-11453.0,31227.0,false,false
palmares-2010-kinshasa-est-11.txt,2010,kinshasa-est-11,kinshasa,27383,27381,14782,12601,-11453.0,31227.0,false,false
palmares-2016-sud-kivu-63.txt,2016,sud-kivu-63,sud-kivu,27360,27239,16986,10374,-11453.0,31227.0,false,false
palmares-2015-sud-kivu-63.txt,2015,sud-kivu-63,sud-kivu,27145,27042,17107,10038,-11453.0,31227.0,false,false
palmares-2008-bandundu.txt,2008,bandundu,bandundu,26360,26286,17840,8520,-11453.0,31227.0,false,false
palmares-2018-kongo-central.txt,2018,kongo-central,bas-congo,26077,26046,15302,10775,-11453.0,31227.0,false,false
palmares-2015-bandundu-2-32.txt,2015,bandundu-2-32,bandundu,26071,25983,15539,10532,-11453.0,31227.0,false,false
palmares-2012-kasai-occ.txt,2012,kasai-occ,kasai-occidental,26022,25616,20566,5456,-11453.0,31227.0,false,false
palmares-2015-kinshasa-centre-12.txt,2015,kinshasa-centre-12,kinshasa,25978,25970,11951,14027,-11453.0,31227.0,false,false
palmares-2017-definitif-kinshasa-centre-12.txt,2017,definitif-kinshasa-centre-12,kinshasa,25117,25112,11898,13219,-11453.0,31227.0,false,false
palmares-2021-kinshasa-mont-amba.txt,2021,kinshasa-mont-amba,kinshasa,24638,24636,10770,13868,-11453.0,31227.0,false,false
palmares-2023-kongo-central-1-21.txt,2023,kongo-central-1-21,bas-congo,24552,24344,12091,12461,-11453.0,31227.0,false,false
palmares-2022-kwilu-3-code-35.txt,2022,kwilu-3-code-35,bandundu,24551,24395,14049,10502,-11453.0,31227.0,false,false
palmares-2022-kinshasa-mont-amba-code-11.txt,2022,kinshasa-mont-amba-code-11,kinshasa,24358,24356,12265,12093,-11453.0,31227.0,false,false
palmares-2012-sud-kivu.txt,2012,sud-kivu,sud-kivu,24163,24105,16405,7758,-11453.0,31227.0,false,false
palmares-2011-kasai-oriental.txt,2011,kasai-oriental,kasai-oriental,24133,24042,18164,5969,-11453.0,31227.0,false,false
palmares-2017-definitif-kinshasa-ouest-13.txt,2017,definitif-kinshasa-ouest-13,kinshasa,24048,24044,12082,11966,-11453.0,31227.0,false,false
palmares-2011-equateur.txt,2011,equateur,equateur,24039,24020,19078,4961,-11453.0,31227.0,false,false
palmares-2011-nord-kivu.txt,2011,nord-kivu,nord-kivu,24014,23986,15081,8933,-11453.0,31227.0,false,false
palmares-2011-kasai-occidental.txt,2011,kasai-occidental,kasai-occidental,23637,23239,19035,4602,-11453.0,31227.0,false,false
palmares-2011-sud-kivu.txt,2011,sud-kivu,sud-kivu,23441,23335,16145,7296,-11453.0,31227.0,false,false
palmares-2023-kinshasa-funa-12.txt,2023,kinshasa-funa-12,kinshasa,23401,23355,11010,12391,-11453.0,31227.0,false,false
palmares-2021-kinshasa-tshangu.txt,2021,kinshasa-tshangu,kinshasa,23238,23233,10973,12265,-11453.0,31227.0,false,false
palmares-2008-katanga.txt,2008,katanga,katanga,23094,22562,16104,6990,-11453.0,31227.0,false,false
palmares-2013-kinshasa-centre-12.txt,2013,kinshasa-centre-12,kinshasa,22757,22739,10068,12689,-11453.0,31227.0,false,false
palmares-2023-35-kwilu-3.txt,2023,35-kwilu-3,bandundu,22644,22500,12165,10479,-11453.0,31227.0,false,false
palmares-2012-kasai-or.txt,2012,kasai-or,kasai-occidental,22245,22174,16572,5673,-11453.0,31227.0,false,false
palmares-2010-kinshasa-centre-12.txt,2010,kinshasa-centre-12,kinshasa,22118,22114,10656,11462,-11453.0,31227.0,false,false
palmares-2012-katanga.txt,2012,katanga,katanga,22093,21966,17377,4716,-11453.0,31227.0,false,false
palmares-2019-sud-kivu-1-63.txt,2019,sud-kivu-1-63,sud-kivu,22066,21959,12339,9727,-11453.0,31227.0,false,false
palmares-2013-kinshasa-est-11.txt,2013,kinshasa-est-11,kinshasa,21936,21934,10839,11097,-11453.0,31227.0,false,false
palmares-2015-kinshasa-ouest-13.txt,2015,kinshasa-ouest-13,kinshasa,21457,21449,10704,10753,-11453.0,31227.0,false,false
palmares-2013-bandundu-2-32.txt,2013,bandundu-2-32,bandundu,21163,21092,13071,8092,-11453.0,31227.0,false,false
palmares-2023-kasai-central-1-81.txt,2023,kasai-central-1-81,kasai-occidental,20961,20128,13783,7178,-11453.0,31227.0,false,false
palmares-2022-kinshasa-funa-code-12.txt,2022,kinshasa-funa-code-12,kinshasa,20736,20730,8569,12167,-11453.0,31227.0,false,false
palmares-2012-nord-kivu.txt,2012,nord-kivu,nord-kivu,20167,20147,12384,7783,-11453.0,31227.0,false,false
palmares-2019-kwilu-2-34.txt,2019,kwilu-2-34,bandundu,20087,20009,12144,7943,-11453.0,31227.0,false,false
palmares-2021-sud-kivu-1.txt,2021,sud-kivu-1,sud-kivu,19848,19773,11139,8709,-11453.0,31227.0,false,false
palmares-2019-nord-kivu-2-62-s.txt,2019,nord-kivu-2-62-s,nord-kivu,19762,19709,9802,9960,-11453.0,31227.0,false,false
palmares-2017-definitif-nord-kivu-1-61.txt,2017,definitif-nord-kivu-1-61,nord-kivu,19413,19401,11849,7564,-11453.0,31227.0,false,false
palmares-2013-sud-kivu-63.txt,2013,sud-kivu-63,sud-kivu,19312,19267,13207,6105,-11453.0,31227.0,false,false
palmares-2023-nord-kivu-2-62.txt,2023,nord-kivu-2-62,nord-kivu,19254,18650,9149,10105,-11453.0,31227.0,false,false
palmares-2009-nord-kivu.txt,2009,nord-kivu,nord-kivu,18919,18888,11909,7010,-11453.0,31227.0,false,false
palmares-2021-kinshasa-lukunga.txt,2021,kinshasa-lukunga,kinshasa,18833,18830,9224,9609,-11453.0,31227.0,false,false
palmares-2016-nord-kivu-61.txt,2016,nord-kivu-61,nord-kivu,18757,18754,11791,6966,-11453.0,31227.0,false,false
palmares-2021-lomami.txt,2021,lomami,kasai-oriental,18538,18403,13129,5409,-11453.0,31227.0,false,false
palmares-2010-katanga-1-71.txt,2010,katanga-1-71,katanga,18514,18496,11547,6967,-11453.0,31227.0,false,false
palmares-2012-katanga1.txt,2012,katanga1,katanga,18377,18347,11000,7377,-11453.0,31227.0,false,false
palmares-2019-lomami-93.txt,2019,lomami-93,kasai-oriental,18322,18164,13136,5186,-11453.0,31227.0,false,false
palmares-2008-kinshasa-centre.txt,2008,kinshasa-centre,kinshasa,18144,18125,8050,10094,-11453.0,31227.0,false,false
palmares-2023-kasai-oriental-1-91.txt,2023,kasai-oriental-1-91,kasai-oriental,17976,17614,11522,6454,-11453.0,31227.0,false,false
palmares-2008-kinshasa-est.txt,2008,kinshasa-est,kinshasa,17868,17850,8963,8905,-11453.0,31227.0,false,false
palmares-2008-kin.txt,2008,kin,kinshasa,17853,17850,8953,8900,-11453.0,31227.0,false,false
palmares-2012-orientale.txt,2012,orientale,orientale,17664,17651,11755,5909,-11453.0,31227.0,false,false
palmares-2009-kasai-oriental.txt,2009,kasai-oriental,kasai-oriental,17624,17546,13234,4390,-11453.0,31227.0,false,false
palmares-2021-kinshasa-funa.txt,2021,kinshasa-funa,kinshasa,17152,17151,7495,9657,-11453.0,31227.0,false,false
palmares-2015-nord-kivu-1-61.txt,2015,nord-kivu-1-61,nord-kivu,17110,17085,10590,6520,-11453.0,31227.0,false,false
palmares-2018-kasai-central.txt,2018,kasai-central,kasai-occidental,17097,17003,12577,4520,-11453.0,31227.0,false,false
palmares-2009-kasai-occidental.txt,2009,kasai-occidental,kasai-occidental,17067,16826,13812,3255,-11453.0,31227.0,false,false
palmares-2012-equateur.txt,2012,equateur,equateur,16859,16825,12848,4011,-11453.0,31227.0,false,false
palmares-2018-kasai.txt,2018,kasai,kasai-occidental,16826,16568,11284,5542,-11453.0,31227.0,false,false
palmares-2013-kinshasa-ouest-13.txt,2013,kinshasa-ouest-13,kinshasa,16824,16821,9136,7688,-11453.0,31227.0,false,false
palmares-2018-tshopo.txt,2018,tshopo,orientale,16771,16763,11058,5713,-11453.0,31227.0,false,false
palmares-2018-haut-lomami.txt,2018,haut-lomami,katanga,16735,16626,12871,3864,-11453.0,31227.0,false,false
palmares-2017-definitif-nord-kivu-2-62.txt,2017,definitif-nord-kivu-2-62,nord-kivu,16652,16606,8682,7970,-11453.0,31227.0,false,false
palmares-2011-province-orientale.txt,2011,province-orientale,orientale,16564,16544,11614,4950,-11453.0,31227.0,false,false
palmares-2018-lomami.txt,2018,lomami,kasai-oriental,16473,16354,11582,4891,-11453.0,31227.0,false,false
palmares-2010-kinshasa-ouest-13.txt,2010,kinshasa-ouest-13,kinshasa,16356,16354,8932,7424,-11453.0,31227.0,false,false
palmares-2023-sud-kivu-2-65.txt,2023,sud-kivu-2-65,sud-kivu,16166,16087,9760,6406,-11453.0,31227.0,false,false
palmares-2009-equateur.txt,2009,equateur,equateur,16112,16106,12800,3312,-11453.0,31227.0,false,false
palmares-2013-katanga-1-71.txt,2013,katanga-1-71,katanga,15775,15765,10079,5696,-11453.0,31227.0,false,false
palmares-2022-kasai-central-1-81.txt,2022,kasai-central-1-81,kasai-occidental,15641,15592,10581,5060,-11453.0,31227.0,false,false
palmares-2016-nord-kivu-62.txt,2016,nord-kivu-62,nord-kivu,15621,15580,8318,7303,-11453.0,31227.0,false,false
palmares-2021-kwilu-3.txt,2021,kwilu-3,bandundu,15390,15342,8206,7184,-11453.0,31227.0,false,false
palmares-2011-bas-congo.txt,2011,bas-congo,bas-congo,15310,15295,9512,5798,-11453.0,31227.0,false,false
palmares-2018-kasai-oriental.txt,2018,kasai-oriental,kasai-oriental,15222,15160,10420,4802,-11453.0,31227.0,false,false
palmares-2019-bas-fleuve-21.txt,2019,bas-fleuve-21,bas-congo,15220,15195,8458,6762,-11453.0,31227.0,false,false
palmares-2022-kasai-2-84.txt,2022,kasai-2-84,kasai-occidental,15026,14786,9661,5365,-11453.0,31227.0,false,false
palmares-2023-kasai-2-84.txt,2023,kasai-2-84,kasai-occidental,14816,14411,9228,5588,-11453.0,31227.0,false,false
palmares-2023-tshopo-1-51.txt,2023,tshopo-1-51,orientale,14798,14788,8268,6530,-11453.0,31227.0,false,false
palmares-2015-nord-kivu-2-62.txt,2015,nord-kivu-2-62,nord-kivu,14753,14714,8081,6672,-11453.0,31227.0,false,false
palmares-2022-kwango-1-code-33.txt,2022,kwango-1-code-33,bandundu,14655,14419,8626,6029,-11453.0,31227.0,false,false
palmares-2022-nord-kivu-2-code-62-1.txt,2022,nord-kivu-2-code-62-1,nord-kivu,14491,14461,7073,7418,-11453.0,31227.0,false,false
palmares-2022-tshopo-1-code-51.txt,2022,tshopo-1-code-51,orientale,14140,14137,7949,6191,-11453.0,31227.0,false,false
palmares-2022-kasai-oriental-1-91.txt,2022,kasai-oriental-1-91,kasai-oriental,13845,13797,8881,4964,-11453.0,31227.0,false,false
palmares-2017-definitif-lomami-93.txt,2017,definitif-lomami-93,kasai-oriental,13803,13711,9891,3912,-11453.0,31227.0,false,false
palmares-2023-kongo-central-2-22.txt,2023,kongo-central-2-22,bas-congo,13784,13661,7217,6567,-11453.0,31227.0,false,false
palmares-2019-kwilu-3-35.txt,2019,kwilu-3-35,bandundu,13708,13666,8155,5553,-11453.0,31227.0,false,false
palmares-2010-sud-kivu-63.txt,2010,sud-kivu-63,sud-kivu,13648,13621,9336,4312,-11453.0,31227.0,false,false
palmares-2019-nord-kivu-1-61.txt,2019,nord-kivu-1-61,nord-kivu,13644,13640,7531,6113,-11453.0,31227.0,false,false
palmares-2017-definitif-tshopo-51.txt,2017,definitif-tshopo-51,orientale,13623,13619,9112,4511,-11453.0,31227.0,false,false
palmares-2023-kasai-1-82.txt,2023,kasai-1-82,kasai-occidental,13488,13109,9573,3915,-11453.0,31227.0,false,false
palmares-2021-nord-kivu-2.txt,2021,nord-kivu-2,nord-kivu,13441,13423,6258,7183,-11453.0,31227.0,false,false
palmares-2010-bandundu-1-31.txt,2010,bandundu-1-31,bandundu,13436,13435,9599,3837,-11453.0,31227.0,false,false
palmares-2023-32-kwilu-1.txt,2023,32-kwilu-1,bandundu,13432,13410,7170,6262,-11453.0,31227.0,false,false
palmares-2019-kasai-central-1-81.txt,2019,kasai-central-1-81,kasai-occidental,13304,13250,9611,3693,-11453.0,31227.0,false,false
palmares-2016-lomami-93.txt,2016,lomami-93,kasai-oriental,13243,13156,9489,3754,-11453.0,31227.0,false,false
palmares-2022-lomami-code-93.txt,2022,lomami-code-93,kasai-oriental,13159,13076,8832,4327,-11453.0,31227.0,false,false
palmares-2021-kasai-oriental-1.txt,2021,kasai-oriental-1,kasai-oriental,12926,12886,8592,4334,-11453.0,31227.0,false,false
palmares-2018-kwango.txt,2018,kwango,bandundu,12914,12761,7848,5066,-11453.0,31227.0,false,false
palmares-2023-kinshasa-plateau-15.txt,2023,kinshasa-plateau-15,kinshasa,12896,12880,6524,6372,-11453.0,31227.0,false,false
palmares-2009-sud-kivu.txt,2009,sud-kivu,sud-kivu,12884,12844,9170,3714,-11453.0,31227.0,false,false
palmares-2015-kasai-oriental-3-93.txt,2015,kasai-oriental-3-93,kasai-oriental,12867,12812,9061,3806,-11453.0,31227.0,false,false
palmares-2023-lualaba-1-74.txt,2023,lualaba-1-74,katanga,12839,12773,7079,5760,-11453.0,31227.0,false,false
palmares-2016-tshopo-51.txt,2016,tshopo-51,orientale,12761,12751,8765,3996,-11453.0,31227.0,false,false
palmares-2008-kinshasa-ouest.txt,2008,kinshasa-ouest,kinshasa,12700,12694,6834,5866,-11453.0,31227.0,false,false
palmares-2016-kasai-82.txt,2016,kasai-82,kasai-occidental,12699,12469,8861,3838,-11453.0,31227.0,false,false
palmares-2008-kasai-or.txt,2008,kasai-or,kasai-occidental,12595,12551,9642,2953,-11453.0,31227.0,false,false
palmares-2019-mai-ndombe-31-s.txt,2019,mai-ndombe-31-s,bandundu,12496,12492,8013,4483,-11453.0,31227.0,false,false
palmares-2017-definitif-kongo-central1-21.txt,2017,definitif-kongo-central1-21,bas-congo,12488,12460,7165,5323,-11453.0,31227.0,false,false
palmares-2023-equateur-1-41.txt,2023,equateur-1-41,equateur,12486,12472,7418,5068,-11453.0,31227.0,false,false
